strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
9000,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE9000.00,169.5,0.0,0.0,0,0.0,6750.0,0.0,0.0,800,50,50,6728.15,50,7129.2,15818.25
10000,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE10000.00,9410.5,0.0,0.0,1,0.0,5858.0,-11.550000000000182,-0.1967782879437126,1100,900,50,5857.5,200,5890.15,15818.25
10500,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE10500.00,36.0,0.0,0.0,0,0.0,5334.05,0.0,0.0,1200,0,1200,4478.7,0,0.0,15818.25
10500,30-Jun-2022,NIFTY,OPTIDXNIFTY30-06-2022CE10500.00,37.5,0.0,0.0,0,0.0,2300.0,0.0,0.0,300,0,300,4741.25,0,0.0,15818.25
10600,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE10600.00,1275.0,0.0,0.0,0,0.0,4250.0,0.0,0.0,750,0,750,4382.7,0,0.0,15818.25
10700,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE10700.00,1398.0,0.0,0.0,0,0.0,4150.0,0.0,0.0,750,50,750,4287.25,50,6392.0,15818.25
10800,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE10800.00,712.5,0.0,0.0,0,0.0,2341.3,0.0,0.0,750,0,750,4191.7,0,0.0,15818.25
11000,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE11000.00,614.0,0.0,0.0,0,0.0,4950.0,0.0,0.0,1950,450,50,4843.0,300,4946.35,15818.25
11000,30-Sep-2021,NIFTY,OPTIDXNIFTY30-09-2021CE11000.00,222.0,0.0,0.0,0,0.0,4878.4,6.699999999999818,0.13752899398566862,5100,5000,100,4822.75,50,4889.95,15818.25
11000,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022CE11000.00,24.0,0.0,0.0,0,0.0,2060.05,0.0,0.0,250,0,250,4612.25,0,0.0,15818.25
11500,30-Sep-2021,NIFTY,OPTIDXNIFTY30-09-2021CE11500.00,2.5,0.0,0.0,0,0.0,4435.0,0.0,0.0,4950,4800,100,4289.25,4800,4922.35,15818.25
11500,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE11500.00,1078.5,1.0,0.09280742459396751,1,0.0,4608.5,-390.5,-7.811562312462493,350,1800,50,4340.25,500,4542.7,15818.25
11500,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022CE11500.00,75.0,0.0,0.0,0,0.0,3874.25,0.0,0.0,1500,50,1500,4223.25,50,6163.0,15818.25
11600,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE11600.00,105.0,0.0,0.0,0,0.0,2650.0,0.0,0.0,750,0,750,3445.25,0,0.0,15818.25
11700,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE11700.00,918.0,0.0,0.0,0,0.0,2480.25,0.0,0.0,500,0,500,3354.25,0,0.0,15818.25
11800,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE11800.00,259.5,0.0,0.0,0,0.0,2261.15,0.0,0.0,500,0,500,3264.25,0,0.0,15818.25
11900,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE11900.00,588.0,0.0,0.0,0,0.0,1048.1,0.0,0.0,750,0,750,3175.25,0,0.0,15818.25
12000,30-Sep-2021,NIFTY,OPTIDXNIFTY30-09-2021CE12000.00,4.5,0.0,0.0,0,0.0,3870.35,0.0,0.0,5000,4950,100,3842.4,50,3912.85,15818.25
12000,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE12000.00,1611.5,0.0,0.0,0,0.0,3905.0,0.0,0.0,2800,200,50,3920.05,50,4027.8,15818.25
12500,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE12500.00,401.0,0.0,0.0,0,0.0,3385.0,0.0,0.0,2050,200,50,3411.65,50,3543.25,15818.25
12500,30-Sep-2021,NIFTY,OPTIDXNIFTY30-09-2021CE12500.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5100,4850,150,3338.3,50,3434.85,15818.25
13000,29-Jul-2021,NIFTY,OPTIDXNIFTY29-07-2021CE13000.00,17051.0,-29.0,-0.16978922716627634,58,0.0,2824.85,-18.300000000000182,-0.6436522870759609,13650,12850,200,2814.85,50,2825.0,15818.25
